Ulice,Mesto,Pocet
Krondlova,Brno,4
Koželužská,Brno,4
Kobylnická,Brno,4
Kellnerova,Brno,4
Karlova,Brno,4
Jeřabinová,Brno,4
Jedlová,Brno,4
Františky stránecké,Brno,4
Eimova,Brno,4
Chaloupkova,Brno,4
Böhmova,Brno,4
Bučovická,Brno,4
Breitcetlova,Brno,4
Boskovická,Brno,4
Blažovická,Brno,4
Bednářova,Brno,4
Bartolomějská,Brno,4
Balbínova,Brno,4
žabovřeské zahrádky,Brno,3
Špačkova,Brno,3
Ševelova,Brno,3
sady osvobození,Brno,3
bratří mrštíků,Brno,3
Zábranského,Brno,3
Za vodojemem,Brno,3
Vomáčkova,Brno,3
Volejníkova,Brno,3
Vohnoutova,Brno,3
Vlárská,Brno,3
Vaňkovka,Brno,3
V nové,Brno,3
Urxova,Brno,3
U luhu,Brno,3
U leskavy,Brno,3
Tvrdonická,Brno,3
Tuháčkova,Brno,3
Troubská,Brno,3
Tenorova,Brno,3
Srnčí,Brno,3
Skryjova,Brno,3
Sejkorova,Brno,3
Salajní,Brno,3
Rotreklova,Brno,3
Roháčkova,Brno,3
Rajhradská,Brno,3
Pšikalova,Brno,3
Puškinova,Brno,3
Preslova,Brno,3
Podolská,Brno,3
Podhájí,Brno,3
Plachtova,Brno,3
Pahrbek,Brno,3
Obůrky,Brno,3
Novodvorská,Brno,3
Na lukách,Brno,3
Májová,Brno,3
Muchova,Brno,3
Martinkova,Brno,3
Marie majerové,Brno,3
Mandloňová,Brno,3
Mahenova,Brno,3
Luh,Brno,3
Květná,Brno,3
Kuřimská,Brno,3
Kuklenská,Brno,3
Kubova,Brno,3
Kubelíkova,Brno,3
Komárovské nábřeží,Brno,3
Kociánka,Brno,3
Karolíny světlé,Brno,3
Kainarova,Brno,3
K dálnici,Brno,3
Jubilejní,Brno,3
Jehnická,Brno,3
