Kamanova;30;;;;2017-11-13 04:23:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Kamechy;53;;;;2017-11-13 04:25:15;námìstí 28. øíjna 1, Brno-Èerná Pole
Kamenaèky;26;;;;2017-11-13 16:30:00.000;námìstí 28. øíjna 4, Brno-Èerná Pole
Kamenice;173;;;;2017-11-16 17:34:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Kamenná;97;;;;2017-11-20 10:04:00.000;námìstí 28. øíjna 9, Brno-Èerná Pole
Kamenomlınskı most;2;;;;2017-11-20 10:17:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Kameníèkova;6;;;;2017-11-20 10:32:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Kampelíkova;6;;;;2017-11-20 10:45:00.000;námìstí 28. øíjna 11, Brno-Èerná Pole
Kamínky;87;;;;2017-11-20 10:54:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Kapucínské námìstí;686;;;;2017-11-20 10:54:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Karkulínova;1;;;;2017-11-21 10:25:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Karlova;4;;;;2017-11-21 10:26:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Karolíny svìtlé;3;;;;2017-11-21 12:50:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Karpatská;2;;;;2017-11-21 12:50:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Kartouzská;31;;;;2017-11-21 12:55:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Karáskovo námìstí;37;;;;2017-11-21 12:55:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Kavèí;16;;;;2017-11-21 12:55:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Kaštanová;31;;;;2017-11-21 13:50:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Ke statku;27;;;;2017-11-21 14:02:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Kejbaly;8;;;;2017-11-23 03:27:16;námìstí 28. øíjna 1, Brno-Èerná Pole
Kellnerova;4;;;;2017-11-23 03:28:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Keøová;8;;;;2017-11-23 03:29:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Kigginsova;13;;;;2017-11-23 03:31:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Kladivova;9;;;;2017-11-23 03:32:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Klajdovská;13;;;;2017-11-23 09:29:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Klarisky;24;;;;2017-11-23 09:32:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Klatovská;169;;;;2017-11-23 09:33:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Klecandova;9;;;;2017-11-24 08:48:00.000;námìstí 28. øíjna 11, Brno-Èerná Pole
Klimešova;7;;;;2017-11-24 08:53:00.000;námìstí 28. øíjna 6, Brno-Èerná Pole
Klobouèek;1;;;;2017-11-24 08:56:00.000;námìstí 28. øíjna 6, Brno-Èerná Pole
Klobásova;6;;;;2017-11-24 08:59:00.000;námìstí 28. øíjna 4, Brno-Èerná Pole
Klokoèí;1;;;;2017-11-24 08:59:00.000;námìstí 28. øíjna 4, Brno-Èerná Pole
Kluchova;9;;;;2017-11-24 09:05:00.000;námìstí 28. øíjna 3, Brno-Èerná Pole
Klusáèkova;53;;;;2017-11-24 09:11:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Klácelova;16;;;;2017-11-24 09:14:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Klášterského;6;;;;2017-11-24 09:15:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Klímova;90;;;;2017-11-24 09:19:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Klíny;10;;;;2017-11-24 09:20:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Klíèova;44;;;;2017-11-24 09:23:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Kneslova;31;;;;2017-11-27 09:48:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Knínièská;10;;;;2017-11-27 10:19:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Kobliná;104;;;;2017-12-01 20:49:00.000;námìstí 28. dubna, Brno
Kobylnická;4;;;;2017-12-15 16:34:00.000;námìstí 28. dubna 35a, Brno-Bystrc
Kociánka;3;;;;2017-12-16 17:31:00.000;námìstí 28. dubna 20, Brno-Bystrc
Kohoutova;11;;;;2017-12-19 03:50:00.000;námìstí 28. øíjna 9, Brno-Èerná Pole
Kohoutovická;5;;;;2017-12-19 03:53:00.000;námìstí 28. øíjna 9, Brno-Èerná Pole
Kolaøíkova;36;;;;2017-12-19 03:57:00.000;námìstí 28. øíjna 9, Brno-Èerná Pole
Kolejní;175;;;;2017-12-22 19:23:00.000;námìstí 28. dubna, Brno
Kolištì;184;;;;2017-12-29 16:35:00.000;námìstí 28. dubna 2, Brno-Bystrc
Kolištì-x køenová;1;;;;;
Kolištì-x lidická;2;;;;;
Kollárova;28;;;;;
Koláèkova;6;;;;;
Kolískova;10;;;;;
Komenského námìstí;41;;;;;
Komprdova;7;;;;;
Komárovská;8;;;;;
Komárovské nábøeí;3;;;;;
Komínská;32;;;;;
Koneèného námìstí;12;;;;;
Koniklecová;186;;;;;
Konopná;61;;;;;
Konradova;35;;;;;
Konrádova;1;;;;;
Koperníkova;31;;;;;
Kopeèná;520;;;;;
Kopeèná-11;3;;;;;
Korejská;66;;;;;
Kosmova;24;;;;;
Kosmákova;37;;;;;
Kosíkova;6;;;;;
Kotkova;2;;;;;
Kotlanova;27;;;;;
Kotláøská;253;;;;;
Kotulánova;1;;;;;
Kotìrova;19;;;;;
Kounicova;2079;;;;;
Kounicova-4 u;1;;;;;
Kounicova-65 zezadu;10;;;;;
Kounicova-72;1;;;;;
Koutného;5;;;;;
Kovaøovicova;85;;;;;
Kovácká;10;;;;;
Kováøská;2;;;;;
Kozí;105;;;;;
Kozí horka;2;;;;;
Koøenského;2;;;;;
Koøískova;13;;;;;
Košinova;42;;;;;
Košulièova;2;;;;;
Koeluská;4;;;;;
Krajní;1;;;;;
Krasová;2;;;;;
Krausova;20;;;;;
Kraví hora;98;;;;;
Krejèího;6;;;;;
Kremlièkova;6;;;;;
Kristenova;22;;;;;
Krkoškova;25;;;;;
Kroftova;5;;;;;
Krokova;25;;;;;
Kromìøíská;10;;;;;
Krondlova;4;;;;;
Kronova;2;;;;;
Kroupova;5;;;;;
Krymská;33;;;;;
Králova;7;;;;;
Královka;1;;;;;
Královopolská;58;;;;;
Královopolskı tunel;1;;;;;
Krásného;124;;;;;
Kubelíkova;3;;;;;
Kubešova;20;;;;;
Kubova;3;;;;;
Kubánská;64;;;;;
Kubíkova;7;;;;;
Kubíèkova;550;;;;;
Kubíèkova-8 akát;7;;;;;
Kubíèkova-Max;1;;;;;
Kudelova;38;;;;;
Kudelova-8;1;;;;;
Kuklenská;3;;;;;
Kuldova;107;;;;;
Kunzova;14;;;;;
Kunzova-8;1;;;;;
Kunštátská;9;;;;;
Kupkova;13;;;;;
Kurská;106;;;;;
Kuršova;88;;;;;
Kuèerova;1;;;;;
Kuøimská;3;;;;;
Kvapilova;8;;;;;
Kvìtináøská;52;;;;;
Kvìtná;3;;;;;
Kyjevská;89;;;;;
Kytnerova;2;;;;;
Kárníkova;6;;;;;
Káèata;7;;;;;
